Full Name,Gender,Location,Name,Role,StaffID,Surname,Username
Aimee Lewis,Female,England,Aimee,Account Handler,37,Lewis,aimee.lewis@sedismart.com
Alexandra Thompson,Female,England,Alexandra,Account Handler,27,Thompson,alexandra.thompson@sedismart.com
Alfie Saunders,Male,England,Alfie,Account Handler,23,Saunders,alfie.saunders@sedismart.com
Alicia Walker,Female,England,Alicia,Account Handler,4,Walker,alicia.walker@sedismart.com
Andrew Sheppard,Male,N Ireland,Andrew,Branch Manager,1232,Sheppard,andrew.sheppard@sedismart.com
Angela Warner,Female,England,Angela,Branch Manager,1088,Warner,angela.warner@sedismart.com
Barbara Pollard,Female,England,Barbara,Branch Manager,1077,Pollard,barbara.pollard@sedismart.com
Benjamin Owen,Male,England,Benjamin,Account Handler,9,Owen,benjamin.owen@sedismart.com
Bradley Wood,Male,England,Bradley,Account Handler,15,Wood,bradley.wood@sedismart.com
Brandon Jackson,Male,England,Brandon,Account Handler,1,Jackson,brandon.jackson@sedismart.com
Brooke Murray,Female,Scotland,Brooke,Account Handler,43,Murray,brooke.murray@sedismart.com
Callum Knight,Male,England,Callum,Account Handler,31,Knight,callum.knight@sedismart.com
Carrie Thornton,Female,Wales,Carrie,Branch Manager,1043,Thornton,carrie.thornton@sedismart.com
Charlie Ross,Male,Wales,Charlie,Account Handler,6,Ross,charlie.ross@sedismart.com
Corey Green,Male,England,Corey,Account Handler,17,Green,corey.green@sedismart.com
Daniel Williamson,Male,England,Daniel,Account Handler,38,Williamson,daniel.williamson@sedismart.com
Demi Taylor,Female,England,Demi,Account Handler,32,Taylor,demi.taylor@sedismart.com
Elaine Monk,Female,England,Elaine,Account Handler,57,Monk,elaine.monk@sedismart.com
Erin Dale,Female,N Ireland,Erin,Account Handler,52,Dale,erin.dale@sedismart.com
Ethan Dean,Male,England,Ethan,Account Handler,18,Dean,ethan.dean@sedismart.com
Ethan Wells,Male,England,Ethan,Account Handler,29,Wells,ethan.wells@sedismart.com
Ewan Yates,Male,Wales,Ewan,Account Handler,48,Yates,ewan.yates@sedismart.com
Grant Gamble,Male,England,Grant,Account Handler,59,Gamble,grant.gamble@sedismart.com
Harold Nelson,Male,England,Harold,Branch Manager,1102,Nelson,harold.nelson@sedismart.com
Harriet Johnson,Female,England,Harriet,Account Handler,54,Johnson,harriet.johnson@sedismart.com
Harrison Hart,Male,England,Harrison,Account Handler,8,Hart,harrison.hart@sedismart.com
Henry Clements,Male,Wales,Henry,Account Handler,47,Clements,henry.clements@sedismart.com
Henry Scott,Male,England,Henry,Branch Manager,1021,Scott,henry.scott@sedismart.com
Henry Williams,Male,Wales,Henry,Account Handler,26,Williams,henry.williams@sedismart.com
Hollie Robinson,Female,Wales,Hollie,Account Handler,36,Robinson,hollie.robinson@sedismart.com
