,region,sales_person,account
2931,Midwest,Delilah Krum,Amgen
2935,Midwest,Delilah Krum,Amgen
2934,Midwest,Delilah Krum,Amgen
2933,Midwest,Delilah Krum,Amgen
2932,Midwest,Delilah Krum,Amgen
2938,Midwest,Delilah Krum,Amgen
2930,Midwest,Delilah Krum,Amgen
2929,Midwest,Delilah Krum,Amgen
2928,Midwest,Delilah Krum,Amgen
2927,Midwest,Delilah Krum,Amgen
2926,Midwest,Delilah Krum,Amgen
2925,Midwest,Delilah Krum,Amgen
2924,Midwest,Delilah Krum,Amgen
2923,Midwest,Delilah Krum,Amgen
2939,Midwest,Delilah Krum,Amgen
2940,Midwest,Delilah Krum,Amgen
2941,Midwest,Delilah Krum,Amgen
2942,Midwest,Delilah Krum,Amgen
2936,Midwest,Delilah Krum,Amgen
2937,Midwest,Delilah Krum,Amgen
2960,Midwest,Delilah Krum,AutoNation
2974,Midwest,Delilah Krum,AutoNation
2975,Midwest,Delilah Krum,AutoNation
2976,Midwest,Delilah Krum,AutoNation
2977,Midwest,Delilah Krum,AutoNation
2943,Midwest,Delilah Krum,AutoNation
2978,Midwest,Delilah Krum,AutoNation
2944,Midwest,Delilah Krum,AutoNation
2946,Midwest,Delilah Krum,AutoNation
2970,Midwest,Delilah Krum,AutoNation
2969,Midwest,Delilah Krum,AutoNation
2968,Midwest,Delilah Krum,AutoNation
2967,Midwest,Delilah Krum,AutoNation
2966,Midwest,Delilah Krum,AutoNation
2965,Midwest,Delilah Krum,AutoNation
2964,Midwest,Delilah Krum,AutoNation
2963,Midwest,Delilah Krum,AutoNation
2962,Midwest,Delilah Krum,AutoNation
2961,Midwest,Delilah Krum,AutoNation
2973,Midwest,Delilah Krum,AutoNation
2945,Midwest,Delilah Krum,AutoNation
2959,Midwest,Delilah Krum,AutoNation
2957,Midwest,Delilah Krum,AutoNation
2956,Midwest,Delilah Krum,AutoNation
2955,Midwest,Delilah Krum,AutoNation
2954,Midwest,Delilah Krum,AutoNation
2953,Midwest,Delilah Krum,AutoNation
2952,Midwest,Delilah Krum,AutoNation
2951,Midwest,Delilah Krum,AutoNation
2950,Midwest,Delilah Krum,AutoNation
2949,Midwest,Delilah Krum,AutoNation
2948,Midwest,Delilah Krum,AutoNation
2947,Midwest,Delilah Krum,AutoNation
2958,Midwest,Delilah Krum,AutoNation
2971,Midwest,Delilah Krum,AutoNation
2972,Midwest,Delilah Krum,AutoNation
2979,Midwest,Delilah Krum,AutoNation
2980,Midwest,Delilah Krum,AutoNation
2981,Midwest,Delilah Krum,AutoNation
2982,Midwest,Delilah Krum,AutoNation
2983,Midwest,Delilah Krum,AutoNation
2984,Midwest,Delilah Krum,AutoNation
2985,Midwest,Delilah Krum,AutoNation
2986,Midwest,Delilah Krum,AutoNation
2987,Midwest,Delilah Krum,AutoNation
2988,Midwest,Delilah Krum,AutoNation
2989,Midwest,Delilah Krum,AutoNation
2990,Midwest,Delilah Krum,AutoNation
2991,Midwest,Delilah Krum,AutoNation
2992,Midwest,Delilah Krum,AutoNation
2993,Midwest,Delilah Krum,AutoNation
2994,Midwest,Delilah Krum,AutoNation
2995,Midwest,Delilah Krum,AutoNation
2996,Midwest,Delilah Krum,AutoNation
2997,Midwest,Delilah Krum,AutoNation
2998,Midwest,Delilah Krum,AutoNation
2917,Midwest,Delilah Krum,Capital One Financial
2916,Midwest,Delilah Krum,Capital One Financial
2905,Midwest,Delilah Krum,Capital One Financial
2914,Midwest,Delilah Krum,Capital One Financial
2899,Midwest,Delilah Krum,Capital One Financial
2900,Midwest,Delilah Krum,Capital One Financial
2901,Midwest,Delilah Krum,Capital One Financial
2902,Midwest,Delilah Krum,Capital One Financial
2915,Midwest,Delilah Krum,Capital One Financial
2904,Midwest,Delilah Krum,Capital One Financial
2906,Midwest,Delilah Krum,Capital One Financial
2907,Midwest,Delilah Krum,Capital One Financial
2908,Midwest,Delilah Krum,Capital One Financial
2909,Midwest,Delilah Krum,Capital One Financial
2910,Midwest,Delilah Krum,Capital One Financial
2911,Midwest,Delilah Krum,Capital One Financial
2912,Midwest,Delilah Krum,Capital One Financial
2913,Midwest,Delilah Krum,Capital One Financial
2903,Midwest,Delilah Krum,Capital One Financial
3059,Midwest,Delilah Krum,Cummins
3058,Midwest,Delilah Krum,Cummins
3057,Midwest,Delilah Krum,Cummins
3056,Midwest,Delilah Krum,Cummins
3055,Midwest,Delilah Krum,Cummins
3054,Midwest,Delilah Krum,Cummins
3053,Midwest,Delilah Krum,Cummins
3052,Midwest,Delilah Krum,Cummins
3051,Midwest,Delilah Krum,Cummins
3050,Midwest,Delilah Krum,Cummins
2522,Midwest,Carletta Kosinski,Danaher
