,sales_person,orders_count,total_sales,sales_person_level
17,Earlie Schleusner,335,1098137.72,middle
48,Tia Amato,267,1010690.6,middle
49,Vernita Plump,299,934212.93,middle
23,Georgianna Chisholm,256,886244.12,middle
1,Arica Stoltzfus,186,810353.34,middle
16,Dorotha Seawell,208,766935.04,middle
38,Nelle Meaux,241,749076.16,middle
45,Sibyl Lauria,192,721694.02,middle
30,Maren Musto,224,702697.29,middle
4,Brandie Riva,167,675917.64,middle
8,Charles Bidwell,205,675637.19,middle
20,Elwood Shutt,191,662500.24,middle
32,Maryanna Fiorentino,204,655954.74,middle
35,Moon Torian,250,650393.52,middle
25,Hilma Busick,191,622808.04,middle
12,Dawna Agnew,116,604519.38,low
5,Calvin Ollison,199,594516.08,middle
10,Cliff Meints,151,556105.34,middle
24,Gianna Dossey,184,550973.02,middle
34,Michel Averette,173,523977.06,middle
14,Delilah Krum,185,512179.11,middle
19,Elna Condello,168,508913.05,middle
33,Micha Woodford,179,488448.47,low
37,Necole Victory,136,475282.05,low
41,Samuel Racine,134,470408.98,low
11,Cordell Rieder,99,447934.8,low
26,Julia Behrman,115,447712.91,low
15,Derrick Boggess,102,383933.65,low
42,Saran Ram,106,362689.34,low
39,Renetta Carew,83,330188.69,low
43,Shawanda Selke,100,327828.61,low
22,Eugena Esser,116,311801.45,low
31,Marquetta Laycock,90,307940.94,low
13,Debroah Wardle,116,293374.01,low
21,Ernestine Pickron,89,283243.25,low
40,Retha Sears,64,283203.03,low
46,Silvana Virden,65,262170.64,low
29,Lavera Oles,73,258316.81,low
44,Sherlene Wetherington,63,218909.58,low
2,Ayesha Monica,86,217146.59,low
3,Babette Soukup,60,215905.27,low
7,Carletta Kosinski,61,213032.45,low
47,Soraya Fulton,54,210436.05,low
9,Chau Rowles,63,184282.6,low
6,Cara Clarke,54,166138.65,low
0,Akilah Drinkard,66,136613.99,low
28,Kathleen Lalonde,35,116307.79,low
18,Elba Felder,62,114976.59,low
27,Julie Starr,35,89097.65,low
36,Nakesha Renn,13,49361.11,low
